										
DN-34 vs DA-10	Helpful  bahukāro	Should Be Practice  bhāvetabbo	Should Be Completely  Understood parin͂n͂eyyo	Should Be abandon  paha͂tabbo	Leads to decline  ha͂na-bha͂giyo	Leads To Distinction visesa-bha͂giyo	Difficult to fathom  duppativijjho	Should Be brought into being  uppa͂detabbo	Are super normal powers abhin͂n͂eyyo	Should Be directly experienced  sacchikātabbo
1	Diligence in skillful qualities	Mindfulness of the body that is full of pleasure	Contact, which is accompanied by defilements and is prone to being grasped	Conceit ‘I am’	Improper attention	Proper attention	Continued samadhi without lapsing 	Unshakable knowledge	All beings are sustained by food.	Unshakable heart’s release
2	knowing upon self-reflection and shame before others	Serenity and discernment (samatha-vipassana)	Name and form	Ignorance and craving for continued existence.	transgression of the precepts, association with the wicked, and breaking away from right views	adherence to precepts and right views	What are causes and conditions for the corruption and for the purification of  beings	2 knowledges:  knowledge of ending, and of non-arising	2 elements:   the conditioned element and the unconditioned element	Knowledge and freedom
3	1 Associating with good people, 2 listening to the true teaching, and 3 practicing in line with the teaching.	3 kinds of samadhi: .  1 emptiness of the self, 2 on signlessness, and 3 objectless or goal-free or undirected 	3 feelings:   pleasant, painful, and neutral	3 cravings:   craving for sensual pleasures, craving for continued existence, and craving to end existence	3 unskillful roots:   greed, hate, and delusion.	3 skillful roots:   non-greed, non-hate, and non-delusion.	3 kinds of attainment:   the state of saintly disciples, the doctrinal teaching, and the state of tathāgata	3 characteristics:   quiescence, exertion, and neutral	3 kinds of transcendence: escape from desire realm to the realm of form then to  realm of formlessness, and escape to cessation	3 higher knowledges:   recollection of past lives, knowledge of the death and rebirth of sentient beings, and knowledge of the ending of defilements
4	4 situations:  1 living in a suitable region, 2 relying on good people, 3 being rightly resolved in oneself, and 4 past merit	4 mindfulness meditations   observing an aspect of the 1 body, 2 of feelings, 3 mind, 4 dhammas —keen, mindful, and allert; removing desire and aversion for the world	4 foods:  1 solid food, whether coarse or fine for body; 2 contact is for feelings, 3 mental intention is for deeds, and 4 consciousness for name-and-form 	4 floods:   sensuality, desire for rebirth, views, and ignorance	4 bonds:   sensuality, desire for rebirth, views, and ignorance	4 detachments:  from sensuality, desire for rebirth, views, and ignorance	4 noble truths: suffering, the origin of suffering, the cessation of suffering, and the practice that leads to the cessation of suffering	4 knowledges:   knowledge of the present phenomena, inferential knowledge, knowledge of others’ minds, and conventional knowledge	4 kinds of rhetorical skill and knowledge:  1 in teaching, 2 its meaning,  3 of different regional dialects, and 4 in using the foregoing three	4 fruits of buddhist life:   stream-entry, once-return, non-return, and perfection (arahant)
5	5 factors that support meditation:  1 conviction in Buddha, 2 health, 3 not deceitful, 4 right efforts and 5 wisdom of arise & cease	5 five modes of right samadhi: 1 inner joy, 2 mental recollection, 3 self-contentment or self-reliance, 4 a sense of pleasant ease, and 5 mental focus	5  grasping aggregates:   form, feeling, perception, fabrications, and consciousness	5 hindrances:   sensual desire, ill will, dullness and drowsiness, restlessness and remorse, and doubt.	5 kinds of emotional barrenness:  1 doubts about the Teacher, 2 teaching, 3 the Saṅgha, 4 the training, and  5 is angry and resentful 	5 faculties:   faith, energy, mindfulness, immersion, and wisdom	5 elements of escape:  mind well settled on 1 metta to escape ill will, 2 on compassion to escape harming, 3 on formless to escape from form, 4 focus in end of identity  to escape from identity and 5 on renunciation to escape from sensual pleasures	5 knowledges of right samadhi:  1 This samadhi is blissful now, and results in bliss in the future.’, 2 is noble and spiritual, 3 is not cultivated by sinners, 4 is peaceful, sublime and unified, not held in place by forceful suppression.’ & 5 ‘I mindfully enter into and emerge from it	5 opportunities for freedom:  1 learning Dhamma from a teacher, 2 teaching to others, 3 reciting, 4 reflecting on the Dhamma & 5 meditating; one experiences joy - rapture - tranquility - bliss - samadhi 	5 spectrums of the Dhamma:   ethics, samadhi, wisdom, freedom, and knowledge and vision of freedom.
6	6 fraternity qualities for respect and harmony: consistently treats their spiritual companions with 1bodily, 2verbal and 3mental kindness, 4shares without reservation, live according to the 5 precepts and 6 views shared with their spiritual companions	6 recollections:   recollection of the Buddha, the teaching, the Saṅgha, ethics, generosity, and the deities	6 interior sense fields:   eye, ear, nose, tongue, body, and mind	6 classes of craving:   craving for sights, sounds, smells, tastes, touches, and thoughts	6 kinds of disrespect: Lacks respect and reverence for the Teacher, the teaching, and the Saṅgha, the training, diligence, and hospitality	6 kinds of respect.  Respect and reverence for the Teacher, the teaching, and the Saṅgha, the training, diligence, and hospitality	6 elements of escape: 1 metta to escape ill will, 2 compassion to escape harming, 3 rejoice to escape from negativity, 4 equanimity to escape from desire, 5 signless release to escape from all signs & 6 uprooting of the conceit “I am” to escape from doubt	6 consistent responses: guarding the 6 senses with equanimity, mindful and aware	6 unsurpassable things:  1 unsurpassable seeing, 2 listening, 3 acquisition, 4 training, 5 service, and 6 recollection.	6 direct knowledges: 1 many kinds of psychic power, 2 clairaudience, 3 reading minds of others, 4 clairvoyance, 5 recollect past lives & realize undefiled freedom of heart and freedom by wisdom
7	7 kinds of wealth of nobles: 1 faith, 2 ethics, 3 conscience, 4 prudence, 5 learning, 6 generosity, and 7 wisdom.	7 awakening factors:  1 mindfulness,  2 investigation of phenomenon, 3 energy, 4 rapture, 5 tranquility, 6 samadhi, and 7 equanimity	7 planesof consciousness:  1 diverse in body and diverse in perception, 2 diverse in body and unified in perception, 3 unified in body and diverse in perception, 4 unified in body and unified in perception, 5  dimensions of boundless space, 6 boundless consciousness & 7nothingness 	7 underlying tendencies:  1 sensual desire, 2 aversion, 3 views, 4 doubt, 5 conceit, 6 desire to be reborn, and 7 ignorance.	7 bad qualities:  1  faithless, 2 shameless, 3 imprudent, 4 uneducated, 5 lazy, 6 unmindful, and 7 witless.	7 good qualities:  1 faithful, 2 conscientious, 3 prudent, 4 learned, 5 energetic, 6 mindful, and 7 wise	7 good persons qualities: 1 knows the teachings, 2 knows the meaning, 3 knows themselves, 4 knows moderation, 5 knows the right time, 6 knows assemblies, and 7 knows people	7 perceptions:  1 ugliness, 2 impermanence, 3 not-self,  4 giving up, 5 fading away ( dispassion), 6 drawbacks & 7 cessation 	7 kinds of effort: 1 keen to practice precepts, 2 to learn, 3 to get rid of avarice, 4 keep right views  5 endeavor, 6 for mindfulness and alertness and 7 meditation and samadhi 	7 powers of one who has ended the defilements:  1 clearly seen all conditions as truly impermanent, 2 sensual pleasures are truly like a pit of glowing coals; 3 inclines to seclusion and loves renunciation, 4 has well developed the four kinds of mindfulness meditation,  5 five faculties, 6 seven awakening factors, & 7 Noble Eightfold Path 
8	8 reasons to acquiring and develop wisdom: 1 rely on a Teacher, 2 respect and ask him questions, 3 After hearing  they withdrawal of  body and mind, 4 ethics, 5 keeping what they’ve learned, 6 right efforts, 7 mindful & 8 wisdom of rise and fall in the 5 aggregates.	Noble eightfold path,   right view, right thought, right speech, right action, right livelihood, right effort, right mindfulness, and right samadhi 	8 worldly conditions:   gain and loss, fame and disgrace, praise and blame, pleasure and pain	8 wrong ways: wrong view, wrong thought, wrong speech, wrong action, wrong livelihood, wrong effort, wrong mindfulness, and wrong samadhi 	8 grounds for laziness:  Thinking 1 I have work to do, 2 I done work;  3 ‘I have to go, 4 have gone on a journey;  5 I didn't got enough food, 6 I overeat, 7 I feel a little sick, 8 just recover from sickness so  my body is weak and unfit for work. I’d better have a lie down	8 grounds for arousing energy same as lead to decline but think I’d better preemptively rouse up energy for attaining the unattained, achieving the unachieved, and realizing the unrealized.’ They rouse energy	8 lost opportunities for spiritual practice:  when a Buddha appeared in the world, 1 been reborn in hell, 2 in the animal realm, 3 in ghost realm, 4 in one of the long-lived orders of gods, 5 in borderlands, 6 with the Buddha but they’re have wrong views, 7 are witless and stupid, 8 the Buddha doesn't teach the Dhamma 	8 thoughts of a great man:  This teaching is for those of 1 few wishes, 2 content, 3 secluded, 4 energetic, 5 mindfull, 6 with samadhi, 7 wise & 8 who don’t enjoy proliferating	8 dimensions of mastery: 1 Perceiving form internally, someone sees visions externally, limited; 2 Perceiving form internally, someone sees visions externally, limitless; 3 Not perceiving form internally, someone sees visions externally, limited; 4 Not perceiving form internally, someone sees visions externally, limitless; 5 Not perceiving form internally, someone sees visions externally that are blue, 6 yellow,  7 red & 8 white 	8 liberations:  1 Having physical form, they see visions, 2 Not perceiving physical form internally, someone see visions externally, 3 focused only on beauty, 4 dimension of boundless space,  5 boundless consciousness, 6 nothingness, 7 neither perception nor non-perception & 8 cessation of perception and feeling.
9	9 rooted in proper attention: 1 When you attend properly, 2 joy springs up, 3 rapture springs up, 4 the body becomes tranquil, 5 you feel bliss, 6 samadhi, 7 you truly know and see, 8 disillusion, 9 desire fades away and you’re freed	9 effort of purification: 1 ethics, 2 mind, 3 view, 4 overcoming doubt, 5 knowledge and vision of the variety of paths, 6 knowledge and vision of the practice, 7 knowledge and vision, 8 wisdom, and 9 freedom.	9 abodes of beings:  1 diverse in body and diverse in perception, 2 diverse in body and unified in perception, 3 unified in body and diverse in perception, 4 unified in body and unified in perception, 5 non-percipient and do not experience anything, 6 dimensions of boundless space, 7 boundless consciousness, 8 nothingness & 9 neither perception nor non-perception	9 things rooted in craving 1 Craving is a cause for seeking - 2 gaining material possessions - 3 assessing - 4 desire and lust - 5 attachment - 6 possessiveness - 7 stinginess - 8 safeguarding - 9 arguments, fights, divisive speech, lies etc	9 grounds for resentment:  thinking 1 they did, 2 are doing, 3 will do wrong to me’ thinking 4 they did, 5 are doing, 6 will do wrong to someone I love; 7 they helped, 8 are helping and 9 will help someone I dislike	9 methods to get rid of resentment:  1-9 as leads to decline but reflect what can I possibly do?’ you get rid of resentment	9 spiritual practices :  being endowed with sincere 1 faith, 2 moral precepts, 3 learnedness, 4 skill in preaching, 5 supporting the sangha, 6 discoursing to Sangha, 7 four jhanas, 8  eight liberations ,and  9 terminating the defilements 	9 perceptions:  1 ugliness, 2 death, 3 repulsiveness in food, 4 dissatisfaction with the world, 5 impermanence, 6 suffering in impermanence, 7not-self in suffering, 8 giving up, and 9 fading away ( dispassion).	9 dependent originations: 1 because internal an external senses - 2 contact - 3 perceptions - 4 feelings - 5 thoughts - 6 desires - 7 passions - 8 seeking - 9 gains	9 progressive cessations.  1st jhana sensual perceptions have ceased; 2nd jhana thinking and  deliveration 3rd jhana rapture has ceased. 4th jhana breathing has ceased. 5  infinite space, the perception of form has ceased. 6 infinite consciousness, the perception  of infinite space has ceased. 7 dimension of nothingness, the perception of infinite consciousness has ceased. 8 dimension of neither perception nor non-perception, the perception of nothingness has ceased. 9 cessation of perception and feeling, perception and feeling have ceased.
10	10 protective qualities : 1 ethics, 2 learned, 3 good friends, 4 easy to admonish, 5 deft in duties, 6 joyful in Dhamma-vinaya, 7 content, 8 energetic,  9 mindful & 10 wise	10 right practices:  right view, right thought, right speech, right action, right livelihood, right effort, right mindfulness, right samadhi, right knowledge, and right freedom.	10 sense fields:  eye and sights, ear and sounds, nose and smells, tongue and tastes, body and touches.	10 wrong ways: wrong view, wrong thought, wrong speech, wrong action, wrong livelihood, wrong effort, wrong mindfulness, wrong samadhi, wrong knowledge, and wrong freedom.	10 ways of doing unskillful deeds:  killing living creatures, stealing, and sexual misconduct; speech that’s false, divisive, harsh, or nonsensical; covetousness, ill will, and wrong view.	10 ways of doing skillful deeds:  refraining from killing living creatures, stealing, and sexual misconduct; avoiding speech that’s false, divisive, harsh, or nonsensical; contentment, good will, and right view	10 noble abodes.  1 has given up five hindrances, 2 equanimus to six senses, 3 guarded by mindfulness, 4 has four supports:  After reflection uses some things, endures some things, avoids some things, and gets rid of some things; 5 has eliminated idiosyncratic interpretations of the truth, 6 has totally given up searching for sensuality,  existence or spirituality; 7 has right intentions, 8 still body processes in 4th jhana, 9 is well freed in mind from greed, hate, and delusion & 10 well freed by wisdom knowing  they’re unable to arise in the future	10 kinds of reverence for praise: one have and praise 1 faith, 2 ethics, 3 desire less, 4 contentment, 5 seclusion,  6 well learned, 7 energy, 8 practice samadhi, 9 consumate in samadhi and 10 realize feedom	10 grounds for wearing away many bad, unskillful qualities of wrong path by developing right path	10 qualities of an adept:  Adept’s right view, right thought, right speech, right action, right livelihood, right effort, right mindfulness, right samadhi, right knowledge, and right freedom.
										
										
Differences										
DN-33 & DA-10	Helpful  bahukāro	Should Be Practice  bhāvetabbo	Should Be Completely  Understood parin͂n͂eyyo	Should Be abandon  paha͂tabbo	Leads to decline  ha͂na-bha͂giyo	Leads To Distinction visesa-bha͂giyo	Difficult to fathom  duppativijjho	Should Be brought into being  uppa͂detabbo	Are super normal powers abhin͂n͂eyyo	Should Be directly experienced  sacchikātabbo
1 DN 33 green,  DA 10 blue							Continued samadhi without lapsing 	Unshakable knowledge	All beings are sustained by food.	Unshakable heart’s release
2  DN 33 green,  DA 10 blue	knowing upon self-reflection and shame before others	Moral shame and moral dread (hiri ca ottappañ ca)	knowing offences and rehabilitation from them (āpatti-kusalatā ca āpatti-vuṭṭhāna-kusalatā ca	Roughness and friendship with evil (dovacassatā ca pāpamittata ca	Unguarded sense-doors and non-restraint in eating (indriyesu aguttadvāratā ca bhojane amattaññutā ca	Straightforwardness and modesty (ajjavañ ca lajjavañ ca	The sign of calm and grasping the sign (samatha-nimittañ ca paggaha-nimittañ ca	Patience and gentleness (khanti ca soraccañ ca)	Being moved to a sense of urgency, and act upon it (saṁvego ca saṁvejaniyesu ṭhānesu saṁviggassa ca yoniso padhānaṁ	Purity of morality and view (sīla-visuddhi ca diṭṭhi-visuddhi ca
3 DN 33 green,  DA 10 blue	3 demonstrations:   of psychic power,  of revealing, and an instructional demonstration.	3 kinds of samadhi: .  1 emptiness of the self, 2 on signlessness, and 3 objectless or goal-free or undirected 	3 forms of suffering:   inherent in painful feeling, inherent in conditions, and in perishing	3 unskillful intentions, thoughts and perceptions:   sensuality, malice, and cruelty	3 vanities:   of health, the vanity of youth, and the vanity of life	3 grounds for making merit:   giving, ethical conduct, and meditation	3 faculties:   of understanding that one’s enlightenment is imminent,  of enlightenment, of one who is enlightened	3 kinds of development:   of physical endurance, of the mind, and of wisdom.	3 kinds of transcendence: escape from desire realm to the realm of form then to  realm of formlessness, and escape to cessation	3 kinds of wisdom:   produced by thought, learning, and meditation
4 DN 33 green,  DA 10 blue	4 bases of psychic power:  samadhi due to 1 enthusiasm, 2 mind development,  3 energy and 4 inquiry with active effort	4 Four right efforts.   efforts to restrain, to give up unskillful, unwholesome qualities   to develop, and to preserve skillful, wholesome qualities 	4 types persons.   practices to benefit 1 themselves, 2 others, 3 neither themselves nor others and 4 both themselves and others	4 ways of practice:  1 painful with slow insight, 2 painful with swift insight, 3 pleasant  with slow insight, and 4 pleasant with swift insight. Another 4 ways of practice: impatient, patient, taming, and calming practice	4 types of practices:  1 self mortification,  2 mortification of others, 3 mortify both themselves and  others and 4 doesn’t mortify either themselves or others having become holy in themselves	4 ways of purifying donations:  1 purified by the giver, 2 purified by the recipient, not the giver, 3 that’s purified by neither the giver nor the recipient and 4 purified by both the giver and the recipient	4 noble truths: suffering, the origin of suffering, the cessation of suffering, and the practice that leads to the cessation of suffering	4 ways of answering questions.   should be answered 1 definitively, 2 analytically, 3 counter-question and that should be set aside	4 factors of a stream-enterer: unshakable confidence in the Buddha, Dhamma and Sangha and ethical conduct  loved by the noble ones, unbroken and impeccable 	4 types deeds.  1 dark with dark result, 2 bright with bright result, 3 dark and bright with dark and bright result and neither dark nor bright deeds with neither dark nor bright results, which lead to the end of deeds
5 DN 33 green,  DA 10 blue	5 endowments:   with relatives, wealth, health, ethics, and view, because the last 2 one is reborn in good place	5 five modes of right samadhi: 1 inner joy, 2 mental recollection, 3 self-contentment or self-reliance, 4 a sense of pleasant ease, and 5 mental focus	5 faculties:   pleasure, pain, happiness, sadness, and equanimity	5 lower fetters:  1 identity view, 2 doubt, 3 misapprehension of precepts and observances, 4 sensual desire, and 5 ill will	5 emotional shackles:  1 passion and craving for sensual pleasures, 2 greed for the body, 3 greed for forms, 4 overeating and sleeping and 5 hoping to be reborn in deva realms	5 benefits of accomplished in ethics: 1 gains substantial wealth, 2 good reputation, 3 self-assured in any assembly, 4 dies not feeling lost and 5 reborn in a good place	5 destinations:   hell, the animal realm, the ghost realm, humanity, and the gods	5 non-returners:  1 extinguished between one life and the next, 2 upon landing, 3 without extra effort, 4 with extra effort, and 5 reborn in Akaniṭṭha realm	5 the abandon of higher fetters:  1 desire for rebirth in the realm of luminous form, 2 formless realm, 3 conceit, 4 restlessness, and 5 ignorance.	5 impossibles for an arahant:  can’t deliberately 1 kill, 2 intention to steal, 3 have sex, 4 tell a deliberate lie, or 5 store up goods for their own enjoyment
6 DN 33 green,  DA 10 blue			6 elements:   earth, water, fire, air, space, and consciousness	6 roots of quarrels: 1 someone is irritable and hostile, 2 offensive and contemptuous, 3 jealous and stingy, 4 devious and deceitful, 5 wicked desires and 6 wrong view and attached to their own views			6 clases of rebirth:  Someone born into a dark class 1 gives rise to a dark result, 2 gives rise to a bright result, 3gives rise to Nibbana   Someone born into a bright class 4 gives rise to a bright result, 5 gives rise to a dark result, 6 gives rise to Nibbana, which is neither dark nor bright.		6 clases of  consciousness, of contact, of perceptions, of feelings and intentions: base on 6 sense bases	
7 DN 33 green,  DA 10 blue	7 ways to settle disputes and offences: 1 proceedings face-to-face, 2 recollection (sati), 3 mental derangement, 4 confession, 5 majority verdict, 6 verdict of aggravated misconduct and 7 “covering over with grass			7 fetters:   attraction, aversion, views, doubt, conceit, desire to be reborn, and ignorance.					7 kinds of effort: 1 keen to practice precepts, 2 to learn, 3 to get rid of avarice, 4 keep right views  5 endeavor, 6 for mindfulness and alertness and 7 meditation and samadhi 	
8 DN 33 green,  DA 10 blue	8 bases for giving: 1 in occasions, 2 from fear, 3 thinking: “He 3 gave me, 4 will give me something”, 5 “It is good to give”, 6 “I have something, they do not. ”, 7 aspiring for good reputation, 8  to adorn and prepare one’s heart					8 kinds of rebirth due to generosity: aspiring to 1 be rich, 2 - 8 progressive deva realms. But only to moral persons free of passions 				
9 DN 33 green,  DA 10 blue							9 spiritual practices :  being endowed with sincere 1 faith, 2 moral precepts, 3 learnedness, 4 skill in preaching, 5 supporting the sangha, 6 discoursing to Sangha, 7 four jhanas, 8  eight liberations ,and  9 terminating the defilements 			
10 DN-34, DA 10 blue	10 protective qualities : 1 ethics, 2 learned, 3 good friends, 4 easy to admonish, 5 deft in duties, 6 joyful in Dhamma-vinaya, 7 content, 8 energetic,  9 mindful & 10 wise	10 right practices:  right view, right thought, right speech, right action, right livelihood, right effort, right mindfulness, right samadhi, right knowledge, and right freedom.	10 sense fields:  eye and sights, ear and sounds, nose and smells, tongue and tastes, body and touches.	10 wrong ways: wrong view, wrong thought, wrong speech, wrong action, wrong livelihood, wrong effort, wrong mindfulness, wrong samadhi, wrong knowledge, and wrong freedom.	10 ways of doing unskillful deeds:  killing living creatures, stealing, and sexual misconduct; speech that’s false, divisive, harsh, or nonsensical; covetousness, ill will, and wrong view.	10 ways of doing skillful deeds:  refraining from killing living creatures, stealing, and sexual misconduct; avoiding speech that’s false, divisive, harsh, or nonsensical; contentment, good will, and right view	10 noble abodes.  1 has given up five hindrances, 2 equanimus to six senses, 3 guarded by mindfulness, 4 has four supports:  After reflection uses some things, endures some things, avoids some things, and gets rid of some things; 5 has eliminated idiosyncratic interpretations of the truth, 6 has totally given up searching for sensuality,  existence or spirituality; 7 has right intentions, 8 still body processes in 4th jhana, 9 is well freed in mind from greed, hate, and delusion & 10 well freed by wisdom knowing  they’re unable to arise in the future	10 kinds of reverence for praise: one have and praise 1 faith, 2 ethics, 3 desire less, 4 contentment, 5 seclusion,  6 well learned, 7 energy, 8 practice samadhi, 9 consumate in samadhi and 10 realize feedom	10 grounds for wearing away many bad, unskillful qualities of wrong path by developing right path	10 qualities of an adept:  Adept’s right view, right thought, right speech, right action, right livelihood, right effort, right mindfulness, right samadhi, right knowledge, and right freedom.